,PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
0,98,TE Vlora,AL,COMC,OIL,0.6,2,2,0.06,0.06,5880,0,0.5,0.128571429,0.49,3,0.517,,,,,,
1,600,HE Fierza,AL,HDAM,WAT,0.925909,0,0,1,1,0,0,0,0,0.5,1,0,,,739565,,,
2,500,HE Koman,AL,HDAM,WAT,0.865632,0,0,1,1,0,0,0,0,0.5,1,0,,,49180.8,,,
3,25,HE Ulza,AL,HDAM,WAT,0.737382,0,0,1,1,0,0,0,0,0.5,1,0,,,18246.6,,,
4,24,HE Shkopetit,AL,HDAM,WAT,0.794312,0,0,1,1,0,0,0,0,0.5,1,0,,,1573.69,,,
5,250,HE Vau Dejes,AL,HDAM,WAT,0.8674,0,0,1,1,0,0,0,0,0.5,1,0,,,37267.1,,,
6,22.5,HE Bistrica 1,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
7,5,HE Bistrica 2,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
8,0.25,HE Borsh,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
9,0.42,HE Kerpice,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
10,0.64,HE Dukagjin,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
11,4.8,HE Arras,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
12,0.325,HE Homesh,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
13,0.875,HE Orenje,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
14,1.92,HE Funares,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
15,2.15,HE Selce,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
16,4.8,HE Orgjos i Ri,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
17,0.4,HE Tucep,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
18,0.4,HE Lenia,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
19,2.5,HE Bogova,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
20,1.072,HE Leskovik,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
21,9,HE Smokthina,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
22,0.1,HE Lozhan,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
23,0.25,HE Treske 2,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
24,1.2,HE Velcan,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
25,10.6,HE Tervol,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
