,PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,CHPMaxHeat
0,245,TE Kolubara G5,RS,STUR,LIG,0.3415,6,1.5,0.025,0.025,25725,0,1.8,0.052245,0.29,6,1.062,,,,,,,,
1,281,TE Kostolac A,RS,STUR,LIG,0.34,6,1.5,0.025,0.025,29505,0,1.8,0.128114,0.29,6,1.062,,,,,,,,
2,640,TE Kostolac B,RS,STUR,LIG,0.34,6,1.5,0.025,0.025,67200,0,1.8,0.2,0.29,6,1.062,,,,,,,,
3,108,TE Morava G1,RS,STUR,LIG,0.34,6,1.5,0.025,0.025,11340,0,1.8,0.4,0.29,6,1.062,,,,,,,,
4,1502,TE Nikola Tesla A,RS,STUR,LIG,0.34,6,1.5,0.025,0.025,157710,0,1.8,0.055925,0.29,6,1.062,,,,,,,,
5,1160,TE Nikola Tesla B,RS,STUR,LIG,0.341,6,1.5,0.025,0.025,56840,0,1.8,0.186207,0.29,6,1.062,,,,,,,,
6,208,TETO Novi Sad,RS,COMC,GAS,0.57,2,2,0.06,0.06,12480,0,0.5,0.212019,0.49,3,398,,,,,,,,
7,100,TETO Zrenjanin,RS,COMC,GAS,0.57,2,2,0.06,0.06,6000,0,0.5,0.45,0.49,3,398,,,,,,,,
8,45,TETO Sremska Mitrovica,RS,COMC,GAS,0.57,2,2,0.06,0.06,2700,0,0.5,0.15,0.49,3,398,,,,,,,,
9,96,HE Zvornik,RS,HROR,WAT,0.69532,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
10,7,HE Medjuvrsje,RS,HROR,WAT,0.85324,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
11,6,HE Ovcar Banja,RS,HROR,WAT,0.82756,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
12,0.9,HE Seljasnica,RS,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
13,1.05,HE Ostrovica,RS,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
14,1.34,HE Sicevo,RS,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
15,1.5,HE Vlasontice,RS,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
16,5.2,HE Sokolovica,RS,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
17,364,HE Bajina Basta G4,RS,HROR,WAT,0.81242,0,0,1,1,0,0,0,0,0.5,1,0,,,,30000,,,,
18,80,HE Pirot,RS,HDAM,WAT,0.74577,0,0,1,1,0,0,0,0,0.5,1,0,,,,75000,,,,
19,270,HE Derdap 2,RS,HROR,WAT,0.72811,0,0,1,1,0,0,0,0,0.5,1,0,,,,17572,,,,
20,1058,HE Derdap 1,RS,HROR,WAT,0.82728,0,0,1,1,0,0,0,0,0.5,1,0,,,,207231,,,,
21,102,HE Bistrica,RS,HDAM,WAT,0.76347,0,0,1,1,0,0,0,0,0.5,1,0,,,,7835,,,,
22,22,HE Kokin Brod,RS,HDAM,WAT,0.83283,0,0,1,1,0,0,0,0,0.5,1,0,,,,202000,,,,
23,54,HE Potpec,RS,HROR,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,2616,,,,
24,36,HE Uvac,RS,HDAM,WAT,0.85343,0,0,1,1,0,0,0,0,0.5,1,0,,,,34000,,,,
25,128.6,HE Vrla 1-4,RS,HDAM,WAT,0.83398,0,0,1,1,0,0,0,0,0.5,1,0,,,,198000,,,,
26,614,RHE Bajina Basta G2,RS,HPHS,WAT,0.89561,0,0,1,1,0,0,0,0,0.5,1,0,,,,194000,0.003164948,616,0.75,
